name	Beschreibung	bild-src	rating	ingr	schritte
Broccoli-Nudel-Auflauf	Ihre Lieben werden von dem Broccoli-Nudel-Auflauf begeistert sein. Probieren Sie doch dieses unwiderstehliche Rezept.	https://www.gutekueche.at/storage/media/recipe/12062/conv/broccoli-nudel-auflauf-default.jpg	"4,4"	"[{""ingr"":""300""},{""ingr"":""g""},{""ingr"":""Broccoliröschen""},{""ingr"":""150""},{""ingr"":""g""},{""ingr"":""Burgunderschinken in Scheiben""},{""ingr"":""400""},{""ingr"":""g""},{""ingr"":""Nudeln in Muschelform""},{""ingr"":""250""},{""ingr"":""ml""},{""ingr"":""RAMA Cremefine zum Kochen""},{""ingr"":""1""},{""ingr"":""Stk""},{""ingr"":""Knoblauchzehe, gepresst""},{""ingr"":""2""},{""ingr"":""Stk""},{""ingr"":""Eier""},{""ingr"":""80""},{""ingr"":""g""},{""ingr"":""Emmentaler gerieben""},{""ingr"":""40""},{""ingr"":""g""},{""ingr"":""Mandelblättchen""},{""ingr"":""1""},{""ingr"":""Schuss""},{""ingr"":""Rama Culinesse""},{""ingr"":""1""},{""ingr"":""Schuss""},{""ingr"":""Pflanzencreme für die Form""},{""ingr"":""1""},{""ingr"":""Prise""},{""ingr"":""Muskat""},{""ingr"":""1""},{""ingr"":""Prise""},{""ingr"":""Pfeffer""},{""ingr"":""1""},{""ingr"":""Prise""},{""ingr"":""Salz""}]"	"[{""schritte"":""Die Broccoliröschen in kochendem Salzwasser zwei Minuten garen und kalt abschrecken. Die Nudeln ebenfalls nur knackig kochen und abschrecken. Die Schinkenscheiben in 2 cm breite Streifen schneiden.""},{""schritte"":""In einer Schüssel Rama Cremefine zum Kochen mit Eiern und Knoblauch verquirlen und kräftig abschmecken.""},{""schritte"":""Eine Auflaufform mit Rama Culinesse Pflanzencreme einfetten und Broccoli, Nudeln und Schinkenstreifen gemischt einfüllen. Die Eiercreme darübergießen und mit Mandelblättchen und Käse bestreuen. Im vorgeheizten Ofen bei 180°C 25 Minuten backen.""}]"
Makkaroni Auflauf	Einfach und köstlich ist dieser Makkaroni Auflauf. Ein Rezept mit vielen frischen Zutaten.	https://www.gutekueche.at/storage/media/recipe/27374/conv/makkaroni-auflauf-default.jpg	"4,6"	"[{""ingr"":""250""},{""ingr"":""g""},{""ingr"":""Nudeln""},{""ingr"":""1""},{""ingr"":""Stk""},{""ingr"":""Zwiebel""},{""ingr"":""2""},{""ingr"":""Tasse""},{""ingr"":""Suppengemüse""},{""ingr"":""2""},{""ingr"":""EL""},{""ingr"":""Bona Öl""},{""ingr"":""350""},{""ingr"":""g""},{""ingr"":""Faschiertes""},{""ingr"":""3""},{""ingr"":""EL""},{""ingr"":""Tomatenmark""},{""ingr"":""250""},{""ingr"":""ml""},{""ingr"":""Suppe""},{""ingr"":""1""},{""ingr"":""Dose""},{""ingr"":""Tomaten (gewürfelt)""},{""ingr"":""4""},{""ingr"":""Stk""},{""ingr"":""Eier""},{""ingr"":""200""},{""ingr"":""ml""},{""ingr"":""Milch""},{""ingr"":""120""},{""ingr"":""g""},{""ingr"":""Käse (gerieben)""},{""ingr"":""1""},{""ingr"":""Prise""},{""ingr"":""Pfeffer""},{""ingr"":""1""},{""ingr"":""Prise""},{""ingr"":""Salz""}]"	"[{""schritte"":""Für den Makkaroni Auflauf die Nudeln in einem Topf mit Salzwasser bissfest kochen und anschließend abseihen. Das Backrohr auf 200 Grad vorheizen.""},{""schritte"":""Die Zwiebel schälen, das Gemüse waschen und putzen und alles klein schneiden. In einer Pfanne das Fleisch in Öl anrösten. Zwiebel und Gemüse zugeben und kurz mitbraten. Tomatenmark einrühren und mit der Suppe aufgießen. Tomaten zugeben, mit Salz und Pfeffer würzen und kurz köcheln lassen.""},{""schritte"":""Erst die Nudeln in eine eingefettete Auflaufform geben, dann das Fleisch.""},{""schritte"":""Eier und Milch vermischen und über den Auflauf gießen. Abschließend mit dem Käse bestreuen und 40 Minuten überbacken.""}]"
Gratinierter Nudelkuchen	"Wenn Sie ein einfaches Rezept suchen, das sich gut vorbereiten lässt, ist Gratinierter Nudelkuchen genau das richtige Rezept."		"4,3"	"[{""ingr"":""200""},{""ingr"":""g""},{""ingr"":""Makkaroni""},{""ingr"":""1""},{""ingr"":""Prise""},{""ingr"":""Salz""},{""ingr"":""1""},{""ingr"":""Stk""},{""ingr"":""Zwiebel""},{""ingr"":""500""},{""ingr"":""g""},{""ingr"":""Tomaten""},{""ingr"":""1""},{""ingr"":""Bund""},{""ingr"":""Petersilie (glatt)""},{""ingr"":""200""},{""ingr"":""g""},{""ingr"":""Kefalotiri-Käse (gut gereift)""},{""ingr"":""5""},{""ingr"":""EL""},{""ingr"":""Bona Olivenöl""},{""ingr"":""500""},{""ingr"":""g""},{""ingr"":""Rinderfaschiertes""},{""ingr"":""1""},{""ingr"":""Prise""},{""ingr"":""Pfeffer""},{""ingr"":""1""},{""ingr"":""Msp""},{""ingr"":""Zimt (gemahlen)""},{""ingr"":""200""},{""ingr"":""ml""},{""ingr"":""Weißwein (trocken)""},{""ingr"":""50""},{""ingr"":""g""},{""ingr"":""Butter""},{""ingr"":""2""},{""ingr"":""EL""},{""ingr"":""Mehl""},{""ingr"":""500""},{""ingr"":""ml""},{""ingr"":""Milch""},{""ingr"":""200""},{""ingr"":""g""},{""ingr"":""Schlagobers""},{""ingr"":""2""},{""ingr"":""Stk""},{""ingr"":""Eier""},{""ingr"":""2""},{""ingr"":""cl""},{""ingr"":""Bona Olivenöl""}]"	"[{""schritte"":""Die Makkaroni in genügend Salzwasser bissfest garen. Dann in einem Sieb abgießen.""},{""schritte"":""In der Zwischenzeit die Zwiebel abziehen und fein würfeln. Die Tomaten überbrühen, häuten und das Fruchtfleisch klein würfeln. Die Petersilie waschen, trockenschwenken, von den Stielen zupfen und fein hacken. Den Käse fein reiben.""},{""schritte"":""In einer Pfanne das Olivenöl erhitzen und die Zwiebelwürfel darin glasig andünsten. Das Faschierte hinzufügen und unter Rühren krümelig braten. Mit Salz, Pfeffer und Zimt würzen und mit Weißwein aufgießen. Nach dem ersten Aufkochen die Pfanne vom Herd ziehen und die Petersilie untermengen.""},{""schritte"":""Die Tomaten mit heißem Wasser überbrühen, die Haut abziehen und würfeln.""},{""schritte"":""Den Backofen auf 180° C -Umluft 160° C, Gas Stufe 2-3- vorheizen und eine Auflaufform mit Olivenöl ausstreichen. Die Hälfte der Makkaroni auf dem Boden der Form verteilen, mit der Hälfte des Faschierten bedecken. Die würfeligen Tomaten über das Faschierte geben und die restlichen Makkaroni darauf legen. Zum Schluss das übrige Faschierte zufügen. Jede Schicht mit Käse bestreuen.""},{""schritte"":""Aus Butter und Mehl eine helle Schwitze rühren, mit Milch und Sahne aufgießen. Unter Rühren 5 Min. kochen lassen, salzen und pfeffern. Kurz abkühlen lassen und mit den Eiern verrühren. Über den Auflauf gießen. Die Form in den Ofen schieben und den Nudelkuchen in 35 bis 40 fertig backen.""}]"
Makkaroni Thunfisch Auflauf	Der schmackhafte Makkaroni Thunfisch Auflauf begeistert die ganze Familie. Ein tolles Rezept das ein köstliches Gericht zaubert.	https://www.gutekueche.at/storage/media/recipe/11880/conv/makkaroni-thunfisch-auflauf-default.jpg	"4,4"	"[{""ingr"":""400""},{""ingr"":""g""},{""ingr"":""Makkaroni""},{""ingr"":""2""},{""ingr"":""Dose""},{""ingr"":""Thunfisch""},{""ingr"":""1""},{""ingr"":""EL""},{""ingr"":""Bona Öl""},{""ingr"":""1""},{""ingr"":""Stk""},{""ingr"":""Zwiebel""},{""ingr"":""1""},{""ingr"":""Stk""},{""ingr"":""Knoblauchzehe""},{""ingr"":""1""},{""ingr"":""EL""},{""ingr"":""Tomatenmark""},{""ingr"":""1""},{""ingr"":""Dose""},{""ingr"":""Tomaten""},{""ingr"":""0.125""},{""ingr"":""l""},{""ingr"":""Schlagobers""},{""ingr"":""1""},{""ingr"":""Prise""},{""ingr"":""Pfeffer""},{""ingr"":""100""},{""ingr"":""g""},{""ingr"":""Edamer""}]"	"[{""schritte"":""Nudeln in Salzwasser al dente kochen und den Thunfisch aus der Dose nehmen und abtropfen lassen.""},{""schritte"":""Zwiebel und Knoblauch schälen und klein schneiden, in heißem Öl anbraten und das Tomatenmark dazugeben.""},{""schritte"":""Tomaten etwas Zerkleinern hinzufügen und aufkochen. Nach ca. 10 Min. Sahne dazugeben und abschmecken.""},{""schritte"":""Nudeln Thunfisch und die Tomatensauce in eine Auflaufform geben Käse drüber und im Ofen (Umluft) bei 180C° für 25-30 Min. backen.""}]"
Nudel-Paprika-Auflauf	Mit Paprika und Nudeln wird das Rezept Nudel-Paprika-Auflauf zubereitet. Zum Schluss wird das Gratin mit einer Tomatenmarksauce überbacken.	https://www.gutekueche.at/storage/media/recipe/10072/conv/nudel-paprika-auflauf-default.jpg	"4,3"	"[{""ingr"":""200""},{""ingr"":""ml""},{""ingr"":""Gemüsesuppe (klar)""},{""ingr"":""100""},{""ingr"":""g""},{""ingr"":""geriebener Käse""},{""ingr"":""250""},{""ingr"":""ml""},{""ingr"":""Milch""},{""ingr"":""200""},{""ingr"":""g""},{""ingr"":""Nudeln (Sorte nach Belieben)""},{""ingr"":""3""},{""ingr"":""EL""},{""ingr"":""Schärdinger Berghof Sauerrahm""},{""ingr"":""2""},{""ingr"":""EL""},{""ingr"":""Tomatenmark""},{""ingr"":""3""},{""ingr"":""EL""},{""ingr"":""Bona Öl""},{""ingr"":""4""},{""ingr"":""Stk""},{""ingr"":""Paprika""},{""ingr"":""3""},{""ingr"":""Stk""},{""ingr"":""Eier""},{""ingr"":""2""},{""ingr"":""Stk""},{""ingr"":""Zwiebeln""},{""ingr"":""1""},{""ingr"":""TL""},{""ingr"":""Paprikapulver (rot)""},{""ingr"":""1""},{""ingr"":""Prise""},{""ingr"":""Pfeffer""},{""ingr"":""1""},{""ingr"":""Prise""},{""ingr"":""Salz""}]"	"[{""schritte"":""Die Nudeln in Salzwasser kochen. Zwiebel schälen und klein schneiden, die Paprika waschen, entkernen, kleinschneiden, in einer Pfanne das Öl erhitzen um die Zwiebeln anzudünsten dann die Paprika dazugeben und leicht anbraten.""},{""schritte"":""Das ganze mit der Suppe ablöschen und den Sauerrahm unterheben, mit Salz und Pfeffer das Ganze dann noch abschmecken.""},{""schritte"":""Alles in eine passende Auflaufform geben. Milch, Eier, Tomatenmark, Salz, Paprikapulver und Pfeffer miteinander verrühren und über den Auflauf geben.""},{""schritte"":""Mit Käse bestreuen und im Ofen bei ca. 200 Grad 30 Minuten lang backen.""}]"
Makkaroni mit Schinken und Käse überbacken	"Ein einfaches und tolles Rezept sind die Makkaroni mit Schinken und Käse überbacken. Eine schnelle Hauptspeise, wenn der Hunger schon groß ist."	https://www.gutekueche.at/storage/media/recipe/27377/conv/makkaroni-mit-schinken-und-kaese-ueberbacken-default.jpg	"4,4"	"[{""ingr"":""450""},{""ingr"":""g""},{""ingr"":""Makkaroni""},{""ingr"":""60""},{""ingr"":""g""},{""ingr"":""Butter""},{""ingr"":""250""},{""ingr"":""g""},{""ingr"":""Schinken""},{""ingr"":""450""},{""ingr"":""g""},{""ingr"":""Käse (gerieben)""},{""ingr"":""1""},{""ingr"":""Prise""},{""ingr"":""Pfeffer""},{""ingr"":""1""},{""ingr"":""Prise""},{""ingr"":""Salz""}]"	"[{""schritte"":""Für die Makkaroni mit Schinken und Käse überbacken zuerst die Nudeln in einem Topf mit Salzwasser bissfest kochen. Anschließend abseihen. Das Backrohr auf 180 Grad vorheizen.""},{""schritte"":""Den Schinken würfelig schneiden und in einem feuerfesten Topf mit der Butter kurz anbraten. Die Nudeln zu geben und schwenken. Mit Salz und Pfeffer kräftig abschmecken.""},{""schritte"":""Den Käse dick über die Nudeln streuen und im Backrohr 20 Minuten überbacken.""}]"
Bandnudeln mit Lachssahne	Ein Rezept mit Nudeln ist doch stets willkommen. Bei Bandnudeln mit Lachssahne werden unsere Geschmacksknospen so richtig angekurbelt.	https://www.gutekueche.at/storage/media/recipe/9702/conv/bandnudeln-mit-lachssahne-default.jpg	"4,5"	"[{""ingr"":""350""},{""ingr"":""g""},{""ingr"":""Bandnudeln""},{""ingr"":""1""},{""ingr"":""EL""},{""ingr"":""Butter""},{""ingr"":""200""},{""ingr"":""g""},{""ingr"":""geräucherter Lachs""},{""ingr"":""1""},{""ingr"":""Stk""},{""ingr"":""Knoblauchzehe""},{""ingr"":""0.5""},{""ingr"":""Bund""},{""ingr"":""Petersilie""},{""ingr"":""1""},{""ingr"":""Prise""},{""ingr"":""Pfeffer""},{""ingr"":""1""},{""ingr"":""Becher""},{""ingr"":""Schlagobers""},{""ingr"":""1""},{""ingr"":""Prise""},{""ingr"":""Salz""},{""ingr"":""0.5""},{""ingr"":""TL""},{""ingr"":""Zitronensaft""},{""ingr"":""1""},{""ingr"":""Stk""},{""ingr"":""Zwiebel""}]"	"[{""schritte"":""Nudeln nach Anweisung in Salzwasser al dente kochen.""},{""schritte"":""Butter in einem Topf oder einer Pfanne erhitzen. Die Zwiebel und den Knoblauch würfeln und in der Pfanne leicht bräunen. Die Sahne bzw. Creme Fraiche dazugeben und 5 Minuten köcheln lassen. Dabei mehrmals umrühren.""},{""schritte"":""Den Lachs in Streifen schneiden und unterrühren. Mit Salz, Pfeffer und Petersilie würzen und mit Zitronensaft abschmecken. Nudeln abgießen und auf Tellern mit der Soße anrichten.""}]"
Nudelauflauf mit Schinken	"Der Nudelauflauf mit Schinken schmeckt der ganzen Familie, ein Rezept für die schnelle Küche."	https://www.gutekueche.at/storage/media/recipe/27659/conv/nudelauflauf-mit-schinken-default.jpg	"4,6"	"[{""ingr"":""200""},{""ingr"":""g""},{""ingr"":""Nudeln""},{""ingr"":""250""},{""ingr"":""g""},{""ingr"":""Schinken""},{""ingr"":""1""},{""ingr"":""Stk""},{""ingr"":""Zwiebel""},{""ingr"":""3""},{""ingr"":""Stk""},{""ingr"":""Paprika""},{""ingr"":""250""},{""ingr"":""g""},{""ingr"":""Käse (gerieben)""},{""ingr"":""1""},{""ingr"":""Pk""},{""ingr"":""Petersilie (TK oder frisch)""},{""ingr"":""200""},{""ingr"":""ml""},{""ingr"":""Schlagobers""},{""ingr"":""1""},{""ingr"":""EL""},{""ingr"":""Bona Öl""},{""ingr"":""1""},{""ingr"":""Prise""},{""ingr"":""Pfeffer""},{""ingr"":""1""},{""ingr"":""Prise""},{""ingr"":""Salz""}]"	"[{""schritte"":""Für den Nudelauflauf mit Schinken zuerst das Backrohr auf 180 Grad vorheizen. Die Nudeln in einem Topf mit Salzwasser bissfest kochen, anschließend in einem Sieb gut abtropfen lassen.""},{""schritte"":""Zwiebel schälen und fein hacken, Paprika waschen, Kerne entfernen und in mundgerechte Stücke schneiden. Schinken klein würfeln.""},{""schritte"":""Käse, Obers, Salz, Pfeffer und Petersilie in einer Schale gut vermengen und kräftig abschmecken. Die Auflaufform mit etwas Öl einstreichen. Nun die Nudeln mit dem Schinken, Gemüse und Käse-Oberssauce in der Auflaufform gut vermengen.""},{""schritte"":""Im Backrohr etwa 20 Minuten überbacken.""}]"
Nudelauflauf mit Faschiertem	"Der Nudelauflauf mit Faschiertem schmeckt der ganzen Familie, ein pikantes und schnelles Rezept."		"4,6"	"[{""ingr"":""2""},{""ingr"":""EL""},{""ingr"":""Oregano (getrocknet)""},{""ingr"":""Oregano (getrocknet)""},{""ingr"":""500""},{""ingr"":""g""},{""ingr"":""Nudeln""},{""ingr"":""500""},{""ingr"":""g""},{""ingr"":""Faschiertes""},{""ingr"":""2""},{""ingr"":""Stk""},{""ingr"":""Knoblauchzehen""},{""ingr"":""5""},{""ingr"":""EL""},{""ingr"":""Tomatenmark""},{""ingr"":""2""},{""ingr"":""Becher""},{""ingr"":""Schlagobers""},{""ingr"":""250""},{""ingr"":""g""},{""ingr"":""Käse (gerieben)""},{""ingr"":""1""},{""ingr"":""EL""},{""ingr"":""Bona Öl""},{""ingr"":""1""},{""ingr"":""EL""},{""ingr"":""Bona Olivenöl""},{""ingr"":""0.5""},{""ingr"":""TL""},{""ingr"":""Paprikapulver""},{""ingr"":""2""},{""ingr"":""Stk""},{""ingr"":""Eier""},{""ingr"":""1""},{""ingr"":""Prise""},{""ingr"":""Pfeffer""},{""ingr"":""1""},{""ingr"":""Prise""},{""ingr"":""Salz""}]"	"[{""schritte"":""Für den Nudelauflauf mit Faschiertem zuerst die Nudeln in einem Topf mit Salzwasser bissfest kochen. In einem Sieb abtropfen lassen und zur Seite stellen.""},{""schritte"":""In der Zwischenzeit das Backrohr auf 180 Grad vorheizen. Knoblauch schälen, pressen und mit dem Fleisch in einer Pfanne mit Öl scharf anbraten. Tomatenmark zugeben und mit den Gewürzen kräftig abschmecken.""},{""schritte"":""Eine Auflaufform mit etwas Öl ausstreichen und abwechselnd Nudeln und Fleisch in die Form schlichten. Schlagobers mit Salz und Eiern versprudeln und über den Auflauf gießen.""},{""schritte"":""Mit dem Käse bestreuen und für 20 Minuten in das Backrohr schieben.""}]"
Nudelauflauf mit Gemüse	"Der Nudelauflauf mit Gemüse schmeckt der ganzen Familie, auch ein ideales Rezept zur Resteverwertung."	https://www.gutekueche.at/storage/media/recipe/27657/conv/nudelauflauf-mit-gemuese-default.jpg	"4,6"	"[{""ingr"":""250""},{""ingr"":""g""},{""ingr"":""Nudeln""},{""ingr"":""1""},{""ingr"":""Stk""},{""ingr"":""Eier""},{""ingr"":""2""},{""ingr"":""Stk""},{""ingr"":""Paprika""},{""ingr"":""1""},{""ingr"":""Stg""},{""ingr"":""Lauch""},{""ingr"":""3""},{""ingr"":""Stk""},{""ingr"":""Tomaten""},{""ingr"":""1""},{""ingr"":""Becher""},{""ingr"":""Schärdinger Berghof Sauerrahm""},{""ingr"":""80""},{""ingr"":""ml""},{""ingr"":""Schlagobers""},{""ingr"":""200""},{""ingr"":""g""},{""ingr"":""Käse (gerieben)""},{""ingr"":""1""},{""ingr"":""Msp""},{""ingr"":""Muskatnuss""},{""ingr"":""3""},{""ingr"":""EL""},{""ingr"":""Kräuter (TK)""},{""ingr"":""1""},{""ingr"":""EL""},{""ingr"":""Bona Öl""},{""ingr"":""1""},{""ingr"":""Prise""},{""ingr"":""Pfeffer""},{""ingr"":""1""},{""ingr"":""Prise""},{""ingr"":""Salz""}]"	"[{""schritte"":""Für den Nudelauflauf mit Gemüse zuerst die Nudeln in einem Topf mit Salzwasser bissfest kochen. Anschließend abseihen.""},{""schritte"":""Das Backrohr auf 180 Grad vorheizen. Paprika, Lauch und Tomaten waschen, putzen und in mundgerechte Stücke schneiden. Das Gemüse mit den Nudeln in einer Schüssel gut vermengen.""},{""schritte"":""Sauerrahm, Obers, Ei, Salz, Pfeffer und die Gewürze in einer Schale verrühren. Auflaufform mit etwas Öl auspinseln, das Gemüse mit den Nudeln und den Sauerrahmgemisch gut darin vermengen. Abschließend mit Käse bestreuen und für eine halbe Stunde im Backrohr überbacken.""}]"
